japanese,kana,chinese,group_key
対,つい,"pair, couple, set",N3
接ぐ,つぐ,to join; to piece together; to set (bones); to graft (trees),N3
継ぐ,つぐ,to succeed (someone in a business or inheritance,N3
摘む,つむ,"to pluck, to pick, to trim",N3
露,つゆ,dew,N3
強まる,つよまる,"to get strong, to gain strength",N3
強める,つよめる,"to strengthen, to emphasize",N3
データ,データ,data,N3
デザイン,デザイン,design,N3
デザート,デザート,dessert,N3
転校,てんこう,change schools,N3
伝言,でんごん,verbal message,N3
と,と,and,N3
問う,とう,"to ask, to question",N3
棟,とう,ridge (of roof,N3
倒産,とうさん,"(corporate) bankruptcy, insolvency",N3
同士,どうし,"one another, companion, comrade",N3
同志,どうし,"same mind, comrade, kindred soul",N3
当然,とうぜん,obvious; natural,N3
動揺,どうよう,"disturbance, flutter shock",N3
説く,とく,"to explain, to advocate",N3
綴じる,とじる,"to bind, to file",N3
供,とも,"accompanying, attendant, companion, retinue",N3
並,なみ,"medium (e.g., food serving size, quality, price, etc.), ordinary",N3
慣らす,ならす,to accustom,N3
馴らす,ならす,"to domesticate, to tame",N3
難,なん,"difficulty, hardships, defect",N3
音,ね,"sound, note",N3
年鑑,ねんかん,yearbook,N3
脳,のう,"brain, memory",N3
臨む,のぞむ,"to look out on, to face, to attend (function)",N3
肺,はい,lung,N3
～敗,はい,"counter for loss, defeat",N3
映える,はえる,"to shine, to look attractive, to look pretty",N3
諮る,はかる,"to consult with, to confer",N3
図る,はかる,"to plot, to attempt, to devise, to design, to refer A to B",N3
生やす,はやす,"to grow, to cultivate, to wear beard",N3
班,はん,"group, party, section (mil)",N3
判,はん,size (of paper or books),N3
版,はん,edition,N3
碑,ひ,stone monument bearing an inscription,N3
非行,ひこう,"delinquency, misconduct",N3
票,ひょう,"label, ballot, sign",N3
広まる,ひろまる,"to spread, to be propagated",N3
深める,ふかめる,"to deepen, to heighten, to intensify",N3
福,ふく,good fortune,N3
振り,ふり,"style, manner",N3
経る,へる,"to pass, to elapse, to experience",N3
保護,ほご,"care, protection, shelter",N3
保障,ほしょう,"guarantee, security, warranty",N3
補償,ほしょう,"compensation, reparation",N3
ほっと,ほっと,feel relieved,N3
前もって,まえもって,"in advance, beforehand, previously",N3
膜,まく,"membrane, film",N3
マスコミ,マスコミ,mass communication,N3
股,また,"thigh, crotch",N3
末,まつ,the end of,N3
マッサージ,マッサージ,massage,N3
見掛ける,みかける,"to (happen to see), to notice, to catch sight of",N3
捲る,めくる,"to turn over, to turn pages of a book",N3
メッセージ,メッセージ,message,N3
野党,やとう,opposition party,N3
優,ゆう,"superiority, high grade",N3
有機,ゆうき,organic,N3
世,よ,"world, society, generation",N3
良い,よい,"good, nice",N3
予想,よそう,"expectation, anticipation, prediction",N3
弱まる,よわまる,"to weaken, to be emaciated, to be dejected",N3
弱める,よわめる,to weaken,N3
ラベル,ラベル,label,N3
ルール,ルール,rule,N3
枠,わく,"frame, slide",N3
